,City,Country,Max Temp,Humidity,Cloudiness,Wind Speed,Latitude,Longitude,Date
0,bluff,AU,81.6,29,0,10.47,-23.58,149.07,2018-09-11 05:24:19.000000+00:00 (UTC)
1,ushuaia,AR,42.8,75,20,18.34,-54.81,-68.31,2018-09-11 04:00:00.000000+00:00 (UTC)
2,torbay,CA,50.0,81,20,9.17,47.66,-52.73,2018-09-11 05:00:00.000000+00:00 (UTC)
3,tuatapere,NZ,48.66,100,8,7.11,-46.13,167.69,2018-09-11 05:23:27.000000+00:00 (UTC)
4,kavieng,PG,80.88,100,64,3.42,-2.57,150.8,2018-09-11 05:24:22.000000+00:00 (UTC)
5,puerto ayora,EC,70.26,100,0,10.8,-0.74,-90.35,2018-09-11 05:24:22.000000+00:00 (UTC)
6,busselton,AU,58.56,100,80,13.82,-33.64,115.35,2018-09-11 05:23:06.000000+00:00 (UTC)
7,kota kinabalu,MY,91.4,66,75,3.36,5.98,116.07,2018-09-11 05:00:00.000000+00:00 (UTC)
8,sarangani,PH,83.58,97,12,18.07,5.4,125.46,2018-09-11 05:24:02.000000+00:00 (UTC)
9,souillac,FR,57.2,93,40,3.36,45.6,-0.6,2018-09-11 05:00:00.000000+00:00 (UTC)
10,yellowknife,CA,39.2,64,75,12.75,62.45,-114.38,2018-09-11 05:00:00.000000+00:00 (UTC)
11,xichang,CN,55.59,100,92,1.74,27.88,102.25,2018-09-11 05:24:24.000000+00:00 (UTC)
12,hobart,AU,66.2,45,75,16.11,-42.88,147.33,2018-09-11 05:00:00.000000+00:00 (UTC)
13,chara,GR,66.2,63,0,5.82,39.42,22.43,2018-09-11 04:50:00.000000+00:00 (UTC)
14,mar del plata,AR,51.54,55,12,16.28,-46.43,-67.52,2018-09-11 05:24:26.000000+00:00 (UTC)
15,saint anthony,US,66.02,5,1,11.41,43.97,-111.68,2018-09-11 04:56:00.000000+00:00 (UTC)
16,hilo,US,80.96,74,40,11.41,19.71,-155.08,2018-09-11 04:56:00.000000+00:00 (UTC)
17,nova esperanca,BR,71.25,93,88,2.64,4.44,-61.12,2018-09-11 05:24:28.000000+00:00 (UTC)
18,longyearbyen,NO,37.4,86,40,16.11,78.22,15.63,2018-09-11 04:50:00.000000+00:00 (UTC)
19,mataura,NZ,48.3,73,8,7.0,-46.19,168.86,2018-09-11 05:22:29.000000+00:00 (UTC)
20,ribeira grande,PT,74.58,98,24,11.03,38.52,-28.7,2018-09-11 05:22:46.000000+00:00 (UTC)
21,bambous virieux,MU,69.8,88,40,9.46,-20.34,57.76,2018-09-11 04:00:00.000000+00:00 (UTC)
22,yining,CN,79.08,58,20,3.42,29.04,114.56,2018-09-11 05:24:30.000000+00:00 (UTC)
23,portland,US,64.04,77,75,3.36,45.52,-122.67,2018-09-11 04:56:00.000000+00:00 (UTC)
24,jieshi,CN,85.83,83,24,4.88,22.82,115.83,2018-09-11 05:24:32.000000+00:00 (UTC)
25,marawi,PH,76.92,83,64,4.21,8.0,124.29,2018-09-11 05:24:32.000000+00:00 (UTC)
26,arraial do cabo,BR,66.84,100,48,1.74,-22.97,-42.02,2018-09-11 05:24:33.000000+00:00 (UTC)
27,moron,VE,65.94,92,0,1.52,10.49,-68.2,2018-09-11 05:24:33.000000+00:00 (UTC)
28,ponta do sol,BR,59.19,63,0,4.21,-20.63,-46.0,2018-09-11 05:22:04.000000+00:00 (UTC)
29,sao gabriel da cachoeira,BR,71.34,93,8,2.3,-0.13,-67.09,2018-09-11 05:22:59.000000+00:00 (UTC)
30,atuona,PF,78.54,100,0,16.06,-9.8,-139.03,2018-09-11 05:24:34.000000+00:00 (UTC)
31,kapaa,US,80.06,87,40,9.17,22.08,-159.32,2018-09-11 04:56:00.000000+00:00 (UTC)
32,esperance,TT,78.8,88,20,4.21,10.24,-61.45,2018-09-11 04:00:00.000000+00:00 (UTC)
33,talnakh,RU,37.68,91,88,18.07,69.49,88.39,2018-09-11 05:24:35.000000+00:00 (UTC)
34,albany,US,62.06,90,90,5.55,42.65,-73.75,2018-09-11 04:54:00.000000+00:00 (UTC)
35,bredasdorp,ZA,48.2,93,0,4.7,-34.53,20.04,2018-09-11 05:00:00.000000+00:00 (UTC)
36,avarua,CK,75.2,83,75,3.36,-21.21,-159.78,2018-09-11 05:00:00.000000+00:00 (UTC)
37,nouadhibou,MR,69.8,77,0,20.8,20.93,-17.03,2018-09-11 05:00:00.000000+00:00 (UTC)
38,trat,TH,87.8,74,20,6.93,12.25,102.51,2018-09-11 05:00:00.000000+00:00 (UTC)
39,chiredzi,ZW,62.61,66,0,4.43,-21.05,31.67,2018-09-11 05:24:38.000000+00:00 (UTC)
40,lorengau,PG,79.62,100,92,4.76,-2.02,147.27,2018-09-11 05:22:26.000000+00:00 (UTC)
41,qaanaaq,GL,28.77,100,12,0.74,77.48,-69.36,2018-09-11 05:24:39.000000+00:00 (UTC)
42,butaritari,KI,85.56,100,68,11.7,3.07,172.79,2018-09-11 05:24:40.000000+00:00 (UTC)
43,torres,BR,58.29,100,92,5.99,-29.34,-49.73,2018-09-11 05:24:40.000000+00:00 (UTC)
44,chokurdakh,RU,57.66,60,8,4.43,70.62,147.9,2018-09-11 05:24:41.000000+00:00 (UTC)
45,new norfolk,AU,66.2,45,75,16.11,-42.78,147.06,2018-09-11 05:00:00.000000+00:00 (UTC)
46,cape town,ZA,42.8,93,0,4.7,-33.93,18.42,2018-09-11 05:00:00.000000+00:00 (UTC)
47,najran,SA,73.4,20,40,4.7,17.54,44.22,2018-09-11 04:00:00.000000+00:00 (UTC)
48,punta arenas,CL,39.2,86,0,11.41,-53.16,-70.91,2018-09-11 04:00:00.000000+00:00 (UTC)
49,seminole,US,66.38,86,1,3.36,32.72,-102.64,2018-09-11 04:55:00.000000+00:00 (UTC)
